Provider Number,Hospital Name,Address 1,City,State,ZIP Code,Full Address,Latitude,Longitude,County Name,Phone Number,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack,Footnote - Hospital 30-Day Readmission Rates from Heart Attack,Hospital 30-Day Readmission Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure,Footnote - Hospital 30-Day Readmission Rates from Heart Failure,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia,Footnote - Hospital 30-Day Readmission Rates from Pneumonia
171317,EDWARDS COUNTY HOSPITAL,620 WEST EIGHTH STREET,KINSLEY,KS,67547,"620 WEST EIGHTH STREET, KINSLEY, KS, 67547",37.9210550,-99.4198009,EDWARDS,6206593621,Not Available,Number of Cases Too Small,Not Available,Not Available,3,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,9,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.1,No Different than U.S. National Rate,8.9,18.8,27,,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,10,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,17.2,No Different than U.S. National Rate,13.2,22.5,27,
171318,SEDAN CITY HOSPITAL,300 NORTH STREET,SEDAN,KS,67361,"300 NORTH STREET, SEDAN, KS, 67361",37.1339667,-96.1890801,CHAUTAUQUA,6207253115,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,19,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.6,No Different than U.S. National Rate,8.8,17.5,69,,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,20,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,16.8,No Different than U.S. National Rate,13.1,21.5,70,
171319,HOLTON COMMUNITY HOSPITAL,1110 COLUMBINE DR,HOLTON,KS,66436,"1110 COLUMBINE DR, HOLTON, KS, 66436",39.4791373,-95.7511831,JACKSON,7853642116,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,14.6,No Different than U.S. National Rate,10.1,20.4,59,,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Number of Cases Too Small,Not Available,Not Available,24,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,18.2,No Different than U.S. National Rate,14.1,23,61,
171321,MEADE DISTRICT HOSPITAL,510 E CARTHAGE,MEADE,KS,67864,"510 E CARTHAGE, MEADE, KS, 67864",37.2863105,-100.3344025,MEADE,6208732141,Not Available,Number of Cases Too Small,Not Available,Not Available,4,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.6,No Different than U.S. National Rate,7.4,14.7,33,,11.3,No Different than U.S. National Rate,7.9,15.3,109,,Not Available,Number of Cases Too Small,Not Available,Not Available,4,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.8,No Different than U.S. National Rate,20.1,30.1,40,,22.9,No Different than U.S. National Rate,18.4,27.7,124,
171322,HAMILTON COUNTY HOSPITAL,700 NORTH HUSER,SYRACUSE,KS,67878,"700 NORTH HUSER, SYRACUSE, KS, 67878",37.9846055,-101.7426286,HAMILTON,6203847461,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.1,No Different than U.S. National Rate,8.4,16.9,26,,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Number of Cases Too Small,Not Available,Not Available,4,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,17.4,No Different than U.S. National Rate,13.5,22.2,28,
171325,GRAHAM COUNTY HOSPITAL,304 WEST PROUT STREET,HILL CITY,KS,67642,"304 WEST PROUT STREET, HILL CITY, KS, 67642",39.3721547,-99.8455400,GRAHAM,7854212121,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12,No Different than U.S. National Rate,8.7,16.3,65,,9.8,No Different than U.S. National Rate,6.6,14.2,53,,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,24.3,No Different than U.S. National Rate,20,29.6,83,,18.3,No Different than U.S. National Rate,14.4,23.2,60,
171327,ELLSWORTH COUNTY MEDICAL CENTER,1604 AYLWARD AVENUE,ELLSWORTH,KS,67439,"1604 AYLWARD AVENUE, ELLSWORTH, KS, 67439",38.7435018,-98.2186722,ELLSWORTH,7854723111,Not Available,Number of Cases Too Small,Not Available,Not Available,18,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.7,No Different than U.S. National Rate,8.3,15.9,64,,12.5,No Different than U.S. National Rate,9.2,16.6,125,,Not Available,Number of Cases Too Small,Not Available,Not Available,13,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.9,No Different than U.S. National Rate,21.3,31.2,78,,21.5,No Different than U.S. National Rate,17.3,26,134,
171328,OTTAWA COUNTY HEALTH CENTER,215 E 8TH STREET,MINNEAPOLIS,KS,67467,"215 E 8TH STREET, MINNEAPOLIS, KS, 67467",39.1289271,-97.7046209,OTTAWA,7853922122,Not Available,Number of Cases Too Small,Not Available,Not Available,10,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,20,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.9,No Different than U.S. National Rate,9.6,19.9,48,,Not Available,Number of Cases Too Small,Not Available,Not Available,7,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,20,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,18.3,No Different than U.S. National Rate,14.2,23.5,52,
171331,KIOWA DISTRICT HOSPITAL,810 DRUMM STREET,KIOWA,KS,67070,"810 DRUMM STREET, KIOWA, KS, 67070",37.0150312,-98.4838251,BARBER,6208254131,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,12,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.4,No Different than U.S. National Rate,7,15.5,37,,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,17.9,No Different than U.S. National Rate,14,22.9,42,
171333,CLARA BARTON HOSPITAL,250 W 9TH STREET,HOISINGTON,KS,67544,"250 W 9TH STREET, HOISINGTON, KS, 67544",38.5222202,-98.7783065,BARTON,6206532114,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11,No Different than U.S. National Rate,7.6,15.4,26,,10.7,No Different than U.S. National Rate,7.6,14.8,84,,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.5,No Different than U.S. National Rate,19.9,29.6,28,,17.6,No Different than U.S. National Rate,13.9,22.2,90,
171336,NESS COUNTY HOSPITAL DISTRICT #2,312 CUSTER STREET,NESS CITY,KS,67560,"312 CUSTER STREET, NESS CITY, KS, 67560",38.4582617,-99.9013318,NESS,7857982291,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.2,No Different than U.S. National Rate,8.2,17.6,47,,Not Available,Number of Cases Too Small,Not Available,Not Available,4,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,15,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,19,No Different than U.S. National Rate,15,23.9,49,
171337,WAMEGO CITY HOSPITAL,711 GENN DRIVE,WAMEGO,KS,66547,"711 GENN DRIVE, WAMEGO, KS, 66547",39.2049985,-96.3192012,POTTAWATOMIE,7854587201,Not Available,Number of Cases Too Small,Not Available,Not Available,9,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.8,No Different than U.S. National Rate,9.2,17.4,35,,13.6,No Different than U.S. National Rate,9.7,18.4,56,,Not Available,Number of Cases Too Small,Not Available,Not Available,8,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.1,No Different than U.S. National Rate,19.1,29.9,42,,16.7,No Different than U.S. National Rate,13,21.7,58,
171338,SABETHA COMMUNITY HOSPITAL,14TH & OREGON,SABETHA,KS,66534,"14TH & OREGON, SABETHA, KS, 66534",39.8997686,-95.8071090,NEMAHA,7852842121,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.2,No Different than U.S. National Rate,9,18.8,51,,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,22.8,No Different than U.S. National Rate,18.3,28.5,26,,16.5,No Different than U.S. National Rate,12.4,21.4,47,
171339,GREENWOOD COUNTY HOSPITAL,100 W 16TH STREET,EUREKA,KS,67045,"100 W 16TH STREET, EUREKA, KS, 67045",37.8361501,-96.2942004,GREENWOOD,6205837451,Not Available,Number of Cases Too Small,Not Available,Not Available,6,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.7,No Different than U.S. National Rate,9.4,17.1,64,,9.6,No Different than U.S. National Rate,7,13,142,,Not Available,Number of Cases Too Small,Not Available,Not Available,4,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.6,No Different than U.S. National Rate,21.7,32,67,,17.1,No Different than U.S. National Rate,13.7,21,158,
171340,HERINGTON MUNICIPAL HOSPITAL,100 E HELEN STREET,HERINGTON,KS,67449,"100 E HELEN STREET, HERINGTON, KS, 67449",38.6806210,-96.9417670,DICKINSON,7852582207,Not Available,Number of Cases Too Small,Not Available,Not Available,6,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.3,No Different than U.S. National Rate,8.9,16.6,29,,9.3,No Different than U.S. National Rate,6.6,12.7,100,,Not Available,Number of Cases Too Small,Not Available,Not Available,3,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.7,No Different than U.S. National Rate,19.8,30.1,30,,18.6,No Different than U.S. National Rate,14.7,22.9,105,
171341,HIAWATHA COMMUNITY HOSPITAL,300 UTAH STREET,HIAWATHA,KS,66434,"300 UTAH STREET, HIAWATHA, KS, 66434",39.8521626,-95.5309723,BROWN,7857426283,Not Available,Number of Cases Too Small,Not Available,Not Available,11,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.8,No Different than U.S. National Rate,8.2,16.3,59,,12,No Different than U.S. National Rate,8.4,16.7,70,,Not Available,Number of Cases Too Small,Not Available,Not Available,8,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.5,No Different than U.S. National Rate,20.8,30.8,71,,18.3,No Different than U.S. National Rate,14.3,23.1,68,
171343,STANTON COUNTY HOSPITAL,404 N CHESTNUT,JOHNSON,KS,67855,"404 N CHESTNUT, JOHNSON, KS, 67855",37.5739694,-101.7497804,STANTON,6204926250,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
171344,WILSON MEDICAL CENTER,REECE CAMPUS 2600 OTTAWA ROAD,NEODESHA,KS,66757,"REECE CAMPUS 2600 OTTAWA ROAD, NEODESHA, KS, 66757",37.4085290,-95.7082419,WILSON,6203258369,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,15.6,No Different than U.S. National Rate,11.1,21.1,47,,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,16.3,No Different than U.S. National Rate,12.4,20.8,42,
171347,SHERIDAN COUNTY HOSPITAL,826  18TH STREET,HOXIE,KS,67740,"826  18TH STREET, HOXIE, KS, 67740",39.3545591,-100.4318857,SHERIDAN,7856753281,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,10,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.7,No Different than U.S. National Rate,9.1,17.1,39,,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,11,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,18.5,No Different than U.S. National Rate,14.5,23.3,46,
171348,NORTON COUNTY HOSPITAL,102 E HOLME STREET,NORTON,KS,67654,"102 E HOLME STREET, NORTON, KS, 67654",39.8378253,-99.8880253,NORTON,7858773351,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.7,No Different than U.S. National Rate,7.9,16.8,34,,10.2,No Different than U.S. National Rate,7,14.8,56,,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.5,No Different than U.S. National Rate,19,29.1,44,,16.3,No Different than U.S. National Rate,12.7,20.7,57,
171349,CLOUD COUNTY HEALTH CENTER,1100 HIGHLAND DRIVE,CONCORDIA,KS,66901,"1100 HIGHLAND DRIVE, CONCORDIA, KS, 66901",39.5657181,-97.6734631,CLOUD,7852431234,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.1,No Different than U.S. National Rate,9,16.3,99,,12.4,No Different than U.S. National Rate,9.1,16.6,118,,Not Available,Number of Cases Too Small,Not Available,Not Available,6,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,27.5,No Different than U.S. National Rate,22.5,32.7,115,,19.9,No Different than U.S. National Rate,15.8,24.6,118,
171350,RUSSELL REGIONAL HOSPITAL,200 S MAIN STREET,RUSSELL,KS,67665,"200 S MAIN STREET, RUSSELL, KS, 67665",38.8828084,-98.8596234,RUSSELL,7854833131,Not Available,Number of Cases Too Small,Not Available,Not Available,9,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,24,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.8,No Different than U.S. National Rate,7.5,15.4,63,,Not Available,Number of Cases Too Small,Not Available,Not Available,6,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.6,No Different than U.S. National Rate,19.5,30.2,27,,16.5,No Different than U.S. National Rate,13,20.8,67,
171351,WASHINGTON COUNTY HOSPITAL,304 E 3RD STREET,WASHINGTON,KS,66968,"304 E 3RD STREET, WASHINGTON, KS, 66968",39.8178486,-97.0457876,WASHINGTON,7853252211,Not Available,Number of Cases Too Small,Not Available,Not Available,4,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,8,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12,No Different than U.S. National Rate,8.3,16.9,70,,Not Available,Number of Cases Too Small,Not Available,Not Available,4,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,8,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,16.2,No Different than U.S. National Rate,12.5,20.9,74,
171352,DECATUR COUNTY HOSPITAL,810 W  COLUMBIA STREET,OBERLIN,KS,67749,"810 W  COLUMBIA STREET, OBERLIN, KS, 67749",39.8160039,-100.5373242,DECATUR,7854752208,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.4,No Different than U.S. National Rate,7.3,14.5,33,,10.5,No Different than U.S. National Rate,7.7,14.4,104,,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.2,No Different than U.S. National Rate,19.3,29.8,41,,19.6,No Different than U.S. National Rate,15.7,24,119,
171353,PHILLIPS COUNTY HOSPITAL,1150 STATE STREET,PHILLIPSBURG,KS,67661,"1150 STATE STREET, PHILLIPSBURG, KS, 67661",39.7552827,-99.3133014,PHILLIPS,7855435226,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,21,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.2,No Different than U.S. National Rate,7.9,15.5,61,,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,17,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,18.6,No Different than U.S. National Rate,14.6,23.2,69,
171354,"COMMUNITY HOSPITAL, ONAGA AND ST MARYS CAMPUS",120 WEST 8TH STREET,ONAGA,KS,66521,"120 WEST 8TH STREET, ONAGA, KS, 66521",39.4963388,-96.1715911,POTTAWATOMIE,7858894272,Not Available,Number of Cases Too Small,Not Available,Not Available,6,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.9,No Different than U.S. National Rate,7.8,14.9,65,,8.9,No Different than U.S. National Rate,6.5,12.2,139,,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.6,No Different than U.S. National Rate,21,30.9,78,,16.5,No Different than U.S. National Rate,13.2,20.3,156,
171355,TREGO COUNTY LEMKE MEMORIAL HOSPITAL,320 THIRTEENTH ST,WA KEENEY,KS,67672,"320 THIRTEENTH ST, WA KEENEY, KS, 67672",39.0277552,-99.8710117,TREGO,7857432182,Not Available,Number of Cases Too Small,Not Available,Not Available,11,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,9.7,No Different than U.S. National Rate,6.8,13.2,77,,12.7,No Different than U.S. National Rate,9.6,16.6,167,,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.1,No Different than U.S. National Rate,20.8,30.2,90,,19.6,No Different than U.S. National Rate,16.1,23.3,175,
171356,ST LUKE HOSPITAL & LIVING CENTER,535 SOUTH FREEBRON,MARION,KS,66861,"535 SOUTH FREEBRON, MARION, KS, 66861",38.3426807,-97.0104500,MARION,6203822177,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,16,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,21,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,17,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
171357,HILLSBORO COMMUNITY HOSPITAL,701 S MAIN STREET,HILLSBORO,KS,67063,"701 S MAIN STREET, HILLSBORO, KS, 67063",38.3449254,-97.2050127,MARION,6209473114,Not Available,Number of Cases Too Small,Not Available,Not Available,3,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,18,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,24,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,3,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,18,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,18.4,No Different than U.S. National Rate,14.3,23.6,28,
171358,LINDSBORG COMMUNITY HOSPITAL,605 W LINCOLN STREET,LINDSBORG,KS,67456,"605 W LINCOLN STREET, LINDSBORG, KS, 67456",38.5728915,-97.6835542,MCPHERSON,7852273308,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,15,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.6,No Different than U.S. National Rate,8.8,17.5,68,,Not Available,Number of Cases Too Small,Not Available,Not Available,3,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,16,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,18.2,No Different than U.S. National Rate,14.3,22.9,67,
171359,GREELEY COUNTY HEALTH SERVICES,506 3RD STREET,TRIBUNE,KS,67879,"506 3RD STREET, TRIBUNE, KS, 67879",38.4701025,-101.7495285,GREELEY,6203764221,Not Available,Number of Cases Too Small,Not Available,Not Available,3,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,20,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.3,No Different than U.S. National Rate,8,15.4,68,,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,20,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,17.2,No Different than U.S. National Rate,13.5,21.5,79,
171361,REPUBLIC COUNTY HOSPITAL,2420 G STREET,BELLEVILLE,KS,66935,"2420 G STREET, BELLEVILLE, KS, 66935",39.8173183,-97.6369894,REPUBLIC,7855272254,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.3,No Different than U.S. National Rate,8,15.7,65,,13.1,No Different than U.S. National Rate,9.6,17.3,142,,Not Available,Number of Cases Too Small,Not Available,Not Available,15,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,27.6,No Different than U.S. National Rate,22.7,33.6,72,,19.5,No Different than U.S. National Rate,15.7,24,162,
171364,OSBORNE COUNTY MEMORIAL HOSPITAL,424 W NEW HAMPSHIRE,OSBORNE,KS,67473,"424 W NEW HAMPSHIRE, OSBORNE, KS, 67473",39.4371162,-98.7013762,OSBORNE,7853462121,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,13,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.8,No Different than U.S. National Rate,8.2,16.6,47,,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Number of Cases Too Small,Not Available,Not Available,16,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,19.2,No Different than U.S. National Rate,15,24.1,46,
171366,HARPER HOSPITAL DISTRICT NO 5,700 WEST 13TH,HARPER,KS,67058,"700 WEST 13TH, HARPER, KS, 67058",37.2843651,-98.0331372,HARPER,6208967324,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.6,No Different than U.S. National Rate,7.7,14.4,55,,10.5,No Different than U.S. National Rate,7.4,15.1,64,,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24,No Different than U.S. National Rate,19.5,29.5,57,,17.5,No Different than U.S. National Rate,13.6,22.2,72,
171367,GOVE COUNTY MEDICAL CENTER,520 WEST 5TH STREET,QUINTER,KS,67752,"520 WEST 5TH STREET, QUINTER, KS, 67752",39.0672851,-100.2407236,GOVE,7857543341,Not Available,Number of Cases Too Small,Not Available,Not Available,12,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.1,No Different than U.S. National Rate,8.5,16.7,33,,11.1,No Different than U.S. National Rate,8,15,141,,Not Available,Number of Cases Too Small,Not Available,Not Available,8,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.4,No Different than U.S. National Rate,19.9,29.7,39,,18.4,No Different than U.S. National Rate,14.9,22.6,151,
